-0.69314718056	-0.69314718056	-0.69314718056	-0.69314718056
token TruePositive DeceptivePositive TrueNegative DeceptiveNegative
knicked	-10.2644781705	-10.2396025825	-10.5358491608	-9.79984777778
foul	-10.2644781705	-10.2396025825	-9.84270198027	-8.8835570459
four	-7.69952881308	-7.75469593272	-7.4913267231	-8.19040986534
friend's	-9.57133098998	-10.2396025825	-10.5358491608	-9.79984777778
hanging	-10.2644781705	-10.2396025825	-9.14955479971	-9.39438266967
canes	-10.2644781705	-10.2396025825	-9.84270198027	-10.4929949583
eligible	-9.57133098998	-10.2396025825	-10.5358491608	-10.4929949583
reclean	-10.2644781705	-10.2396025825	-10.5358491608	-9.79984777778
lore	-9.57133098998	-10.2396025825	-10.5358491608	-10.4929949583
lord	-10.2644781705	-10.2396025825	-9.84270198027	-10.4929949583
shaving	-10.2644781705	-10.2396025825	-9.84270198027	-10.4929949583
wads	-10.2644781705	-10.2396025825	-9.84270198027	-10.4929949583
navigating	-10.2644781705	-10.2396025825	-10.5358491608	-9.39438266967
yellow	-10.2644781705	-10.2396025825	-9.84270198027	-8.41355341666
parkingvalet	-10.2644781705	-10.2396025825	-10.5358491608	-9.39438266967
fur	-10.2644781705	-10.2396025825	-10.5358491608	-9.79984777778
bringing	-9.16586588187	-9.14099029384	-10.5358491608	-9.10670059722
hasselfree	-9.57133098998	-10.2396025825	-10.5358491608	-10.4929949583
disturb	-9.57133098998	-10.2396025825	-8.7440896916	-9.39438266967
basics	-10.2644781705	-10.2396025825	-9.84270198027	-10.4929949583
wooden	-10.2644781705	-9.54645540195	-9.84270198027	-10.4929949583
clientele	-10.2644781705	-10.2396025825	-9.14955479971	-10.4929949583
laundrydry	-10.2644781705	-9.54645540195	-10.5358491608	-10.4929949583
wednesday	-10.2644781705	-10.2396025825	-9.43723687216	-10.4929949583
viable	-10.2644781705	-10.2396025825	-10.5358491608	-9.79984777778
dogbecause	-10.2644781705	-9.54645540195	-10.5358491608	-10.4929949583
couple's	-10.2644781705	-8.85330822139	-10.5358491608	-10.4929949583
roomsvery	-9.57133098998	-10.2396025825	-10.5358491608	-10.4929949583
